name,category,ingredient
루꼴라 오픈 토스트,양식,루꼴라 호밀빵 햄 슬라이스 치즈 양파 피클 마요네즈 후춧가루 올리브오일
[레이먼 킴] 크림치즈 전복만두,간식 안주 메인요리,만두피 새우(탈피) 크림치즈 셀러리 쪽파 우스터소스 마늘 소금 손질 전복 튀김용 기름 식용 꽃 양송이 마늘 생크림(35% 이상) 파마산 치즈(분쇄) 화이트 와인 치킨스톡 다진 세이지 무염 버터 올리브오일 소금 후춧가루 바질 살짝 데친 시금치 포도씨 오일
[류태환] 토종쌀 리조또,메인요리,검은깨 쌀벼 백미 멧돼지찰 북흑조 다진 샬롯 다진 마늘 기순도 된장 치킨스톡 버터 미니 파슬리 올리브오일 발효 명이나물 드라이에이징 소고기 무즙 치킨스톡 소금 홍감자 버터 건조 빵가루 백미 물
[류태환] 초당옥수수 냉수프,간단요리 메인요리,초당옥수수 햇양파 슬라이스 타임 소금 후춧가루 올리브오일 팝콘 클로티드 크림 파프리카 파우더 다진 파슬리 마늘 슬라이스 옥수수 삶은 물 우유 생크림 설탕 타임 월계수잎 으깬 마늘 양파 껍질 부분
카프레제,메인요리,토마토 생모짜렐라 치즈 바질잎 올리브오일 소금 후춧가루
판 콘 토마테,메인요리,토마토 깐 마늘 구운 바게트 생바질 올리브 오일 후춧가루
감자솥밥,메인요리,쌀 물 감자 다시마 간장 맛술 고춧가루 다진 마늘 참기름 송송 썬 쪽파 통깨
[여름 안동 편] 산초소스 고등어구이,퓨전 메인요리,간고등어 딜 생강채 파채 홍고추채 후춧가루 대파 마늘 생강 건고추 산초장아찌 식물성 기름 생크림 유자즙
[장진아] 썸머 라이스,간단요리 메인요리,대추방울토마토(오렌지색) 열무백김치(또는 씻은 열무김치) 흰만가닥버섯 올리브유 슬라이스 치즈 현미 즉석밥 후춧가루 진간장(혹은 맛간장) 물
[장진아] 썸머 스무디,간단요리,두부 청귤청(혹은 유자청) 귀리우유 그래놀라(카카오) 바나나
[장진아] 썸머 토스트,간단요리 메인요리,그릭요거트 참나물 미니참외 먹물 치아바타 홀그레인 머스터드 매실청 올리브오일
